T(K),Volume,Lattice Parameter (a),Lattice Parameter (b),Lattice Parameter (c),V/V0,a/a0,b/b0,c/c0
100.0,34648.0,30.4601,34.2323,33.2943,0.9819609176834021,0.9954215985516435,1.0027065105638857,0.9848141103949692
150.0,34809.3,30.4959,34.2094,33.4224,0.9865323300599415,0.9965915255455846,1.0020357411708882,0.9886031880311292
200.0,34965.8,30.5325,34.1854,33.5468,0.9909677053663791,0.9977875961595022,1.0013327514140347,0.99228282314384
250.0,35109.3,30.5635,34.1636,33.6644,0.9950346469412916,0.9988006614335854,1.0006942023848928,0.9957613206458885
300.0,35284.5,30.6002,34.1399,33.8077,1.0,1.0,1.0,1.0
350.0,35433.9,30.6352,34.1165,33.9293,1.0042341538069124,1.001143783373965,0.999314584987068,1.0035968137436146
400.0,35601.0,30.6715,34.0899,34.0699,1.0089699443098243,1.0023300501303913,0.9985354380065554,1.007755629634669
450.0,35769.4,30.7084,34.0621,34.2132,1.013742578185889,1.0035359246018,0.9977211415382002,1.0119943089887808
500.0,35926.5,30.7401,34.0373,34.3499,1.0181949581260894,1.0045718655433624,0.9969947187894518,1.0160377665443079
